version,actors,seed,alive,mean_survival_days,following_minutes,together_minutes,lost_agreements,self_care_minutes,blocked_need_minutes,optional_work_minutes,pursuit_minutes,episodes,unresolved_episodes,max_closed_episode_minutes
before,1,1,0,0.7438,0,0,0,0,0,0,0,0,0,0
before,1,2,0,1.8826,0,0,0,0,0,0,0,0,0,0
before,1,3,0,1.1944,0,0,0,0,0,0,0,0,0,0
before,1,4,1,2.0000,0,0,0,0,0,0,0,0,0,0
before,1,5,1,2.0000,0,0,0,0,0,0,0,0,0,0
before,1,6,1,2.0000,0,0,0,0,0,0,0,0,0,0
before,1,7,1,2.0000,0,0,0,0,0,0,0,0,0,0
before,1,8,0,1.7458,0,0,0,0,0,0,0,0,0,0
before,1,9,0,0.3924,0,0,0,0,0,0,0,0,0,0
before,1,10,0,1.5681,0,0,0,0,0,0,0,0,0,0
release,1,1,0,0.7438,0,0,0,0,0,0,0,0,0,0
release,1,2,0,1.8826,0,0,0,0,0,0,0,0,0,0
release,1,3,0,1.1944,0,0,0,0,0,0,0,0,0,0
release,1,4,1,2.0000,0,0,0,0,0,0,0,0,0,0
release,1,5,1,2.0000,0,0,0,0,0,0,0,0,0,0
release,1,6,1,2.0000,0,0,0,0,0,0,0,0,0,0
release,1,7,1,2.0000,0,0,0,0,0,0,0,0,0,0
release,1,8,0,1.7458,0,0,0,0,0,0,0,0,0,0
release,1,9,0,0.3924,0,0,0,0,0,0,0,0,0,0
release,1,10,0,1.5681,0,0,0,0,0,0,0,0,0,0
before,2,1,0,0.2618,374,224,1,69,0,15,66,21,0,18
before,2,2,2,2.0000,2880,837,0,1816,0,107,120,36,1,232
before,2,3,0,0.8306,1191,675,1,313,0,125,78,35,0,185
before,2,4,2,2.0000,2880,1241,0,1255,0,193,191,44,1,303
before,2,5,0,1.7000,2435,965,1,1285,0,63,122,19,0,961
before,2,6,1,1.9795,2294,523,1,1473,0,210,88,32,0,501
before,2,7,2,2.0000,2880,1068,0,1619,0,103,90,22,1,630
before,2,8,0,1.6795,2412,955,1,1244,0,65,148,19,0,927
before,2,9,0,0.6681,951,662,1,135,0,35,119,41,0,54
before,2,10,2,2.0000,2880,815,0,1887,0,50,128,35,1,549
release,2,1,0,0.2573,364,260,1,18,73,1,12,17,0,18
release,2,2,1,1.8986,2587,860,1,1369,153,107,98,30,0,374
release,2,3,0,0.8295,1188,675,1,284,79,111,39,27,0,185
release,2,4,2,2.0000,2880,1241,0,1255,0,193,191,44,1,303
release,2,5,0,1.7000,2435,965,1,1285,0,63,122,19,0,961
release,2,6,1,1.5465,1573,545,1,660,78,210,80,27,0,304
release,2,7,2,2.0000,2880,1068,0,1619,0,103,90,22,1,630
release,2,8,0,1.6795,2412,955,1,1244,0,65,148,19,0,927
release,2,9,0,0.6635,951,674,1,82,133,11,51,25,0,58
release,2,10,0,1.7993,2426,744,1,1420,164,50,48,32,0,549
before,3,1,2,1.9944,5735,2196,1,3298,0,79,162,99,1,410
before,3,2,3,2.0000,5760,2332,0,3162,0,180,86,55,1,292
before,3,3,0,1.7495,4514,2577,2,1575,0,142,220,97,0,165
before,3,4,3,2.0000,5760,2449,0,3120,0,93,98,53,2,532
before,3,5,3,2.0000,4081,1525,2,2206,0,140,210,37,2,625
